state_abb,state_name,contributor,population_2022,avg_household_income_2022,area_sq_mile,state_capital,gdp_2022,unemployment_2022_pct,top_industry_1,top_industry_2,top_industry_3,statehood_yr,,,,,,,,,,,,,
NH,New Hampshire,Connor Broderick,"1,395,000","90,845","8,951",Concord,"90,150,000,000",2.9,Real Estate,Manufacturing,Healthcare,1788,,,,,,,,,,,,,
NJ,New Jersey,Max Musial,"9,260,000","$135,170","7,352.90",Trenton,"581,700,000,000",3.30%,Life Sciences,Technology,Clean Energy ,1787,,,,,,,,,,,,,
NM,New Mexico,Max Musial,"2,110,000","$81,035","121,697",Santa Fe,"94,660,000,000",3.50%,Energy,Aerospace,Defense,1912,,,,,,,,,,,,,
NY,New York,Max Musial,"19,673,200","$80,751","54,556",Albany,"2,053,179,700,000",4.30%,Financial Services,Entertainment,Retail,1788,,,,,,,,,,,,,
MC,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,Annapolis,,,,,,,,,,,,,,,,,,,
OH,Ohio,Bryce Beardsley,"11,760,000","66,990","40,848",Columbus,"822,670,000,000",4.1,Manufacturing,Agriculture,Automotive,1803,,,,,,,,,,,,,","
OK,Oklahoma,Bryce Beardsley,"4,019,271",,,,,,,,,,,,,,,,,,,,,,
OR,Oregon,Bryce Beardsley,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,Harrisburg,,,,,,,,,,,,,,,,,,,
RI,,,,,,Providence,,,,,,,,,,,,,,,,,,,
SC,,,,,,Columbia,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,,,,,,
TN,Tennessee,Shane Kanterman,"7,048,976","89,627","41,227.10",Nashville,"367,780,000,000",3.50%,Healthcare,Retail,Manufacturing,1796,,,,,,,,,,,,,
TX,Texas,Shane Kanterman,"30,029,572","102,197","268,193.90",Austin,"2,355,959,700,000",3.80%,Mining,Quarrying,Oil and Gas,1845,,,,,,,,,,,,,
UT,Utah,Shane Kanterman,"3,381,236","111,416","84,899",Salt Lake City,"213,900,000,000",2.30%,Financial,Transportation,Utililties,1896,,,,,,,,,,,,,
VT,Vermont,Brady Evon,"646,000","72,190","9,215.40",Montpelier,"31,400,000,000",2.60%,Agriculture,Forestry,Tourism,1791,,,,,,,,,,,,,
VA,Virginia,Brady Evon,"8,670,000","85,170","39,471.70",Richmond,"512,950,000,000",2.90%,Service,Technology,Agriculture,1788,,,,,,,,,,,,,
WA,Washington,Brady Evon,"7,900,000","89,430","71,362",Olympia,"641,000,000,000",4.20%,Food and Agriculture,Aerospace,Construction,1889,,,,,,,,,,,,,
WV,West Virginia,Elliott Schemm,"1,774,035","75,575","24,038",Charleston,"7,170,000,000",4.10%,Mining,Manufacturing,Agriculture,1863,,,,,,,,,,,,,
WI,Wisonnsin ,Elliott Schemm,"5,890,000","94,995","65,498",Madison,"311,700,000,000",3.00%,Manufacturing,Agriculture,Healthcare,1848,,,,,,,,,,,,,
WY,Wyoming,Elliott Schemm,"581,629","94,900","97,813",Cheyenne,"36,350,000,000",3.90%,Mining,Real estate,Rental/Leasing,1890,,,,,,,,,,,,,
